participant,level,obj,x,y,success
5d0be24e352d630017a643be,Comp_SoCloseLaunch,260.6,275.4,obj3,1
5d0be24e352d630017a643be,Comp_UnboxSlope,181.6,533.4,obj3,0
5d0be24e352d630017a643be,Comp_UnboxSlope,317.6,371.4,obj1,0
5d0be24e352d630017a643be,Comp_UnboxSlope,200.6,497.4,obj1,0
5d0be24e352d630017a643be,Mech_Launch_v2_0,41.6,242.4,obj3,0
5d0be24e352d630017a643be,Mech_Launch_v2_0,75.6,277.4,obj1,0
5d0be24e352d630017a643be,Mech_Launch_v2_0,103.6,298.4,obj2,0
5d0be24e352d630017a643be,Mech_Launch_v2_1,143.6,214.4,obj2,1
5d0be24e352d630017a643be,Mech_Launch_v2_2,522.6,438.4,obj3,1
5d0be24e352d630017a643be,Mech_Launch_v2_3,129.6,320.4,obj1,1
5d0be24e352d630017a643be,Mech_Launch_v2_4,485.6,355.4,obj2,0
5d0be24e352d630017a643be,Mech_Launch_v2_4,503.6,350.4,obj3,0
5d0be24e352d630017a643be,Mech_Launch_v2_4,485.6,332.4,obj1,0
5d0be24e352d630017a643be,Mech_SoClose_0,58.6,480.4,obj3,1
5d0be24e352d630017a643be,Mech_SoClose_1,457.6,352.4,obj2,0
5d0be24e352d630017a643be,Mech_SoClose_1,468.6,380.4,obj1,0
5d0be24e352d630017a643be,Mech_SoClose_1,481.6,446.4,obj1,0
5d0be24e352d630017a643be,Mech_SoClose_2,169.6,444.4,obj1,1
5d0be24e352d630017a643be,Mech_SoClose_3,175.6,321.4,obj1,1
5d0be24e352d630017a643be,Mech_SoClose_4,497.6,444.4,obj2,0
5d0be24e352d630017a643be,Mech_SoClose_4,490.6,464.4,obj2,0
5d0be24e352d630017a643be,Mech_SoClose_4,462.6,365.4,obj3,0
5d0be24e352d630017a643be,Playground,229.6,156.4,obj3,0
5d0be24e352d630017a643be,Playground,497.6,112.4,obj1,0
603415af8ffaaa1ada99d014,Basic_1,184.0,224.0,obj1,1
603415af8ffaaa1ada99d014,Basic_2,401.0,245.0,obj1,0
603415af8ffaaa1ada99d014,Basic_2,399.0,234.0,obj3,1
